               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054652,            0.045518,            0.012926,             0.46758,             0.61213,             0.53624,             0.25622,            0.052616,            0.023259,           0.0037933,             0.07024,           0.0033067,           0.0033067
                   1,            0.057842,            0.021279,           0.0058029,             0.47922,             0.66613,             0.51356,             0.21112,            0.055209,            0.019999,           0.0031188,            0.040109,           0.0065085,           0.0065085
                   2,            0.060786,            0.019854,           0.0063445,             0.53762,             0.61339,             0.59682,             0.19158,            0.054267,             0.01867,            0.003388,           0.0098451,           0.0095784,           0.0095784
                   3,            0.055616,            0.018535,           0.0059975,             0.82637,             0.75089,             0.84152,              0.4375,            0.040425,            0.018528,           0.0025159,            0.009406,            0.009406,            0.009406
                   4,            0.048164,             0.01776,           0.0051726,             0.76657,             0.77532,             0.81864,             0.44438,            0.041346,            0.017507,           0.0027232,            0.009406,            0.009406,            0.009406
                   5,            0.044087,            0.017001,           0.0047375,              0.9028,             0.83533,             0.90658,             0.43651,            0.035266,            0.017302,           0.0025153,            0.009208,            0.009208,            0.009208
                   6,            0.042194,            0.016777,           0.0044614,             0.89583,             0.84443,             0.90414,             0.48177,            0.036557,            0.017238,           0.0025229,             0.00901,             0.00901,             0.00901
                   7,            0.039411,            0.016385,           0.0042559,             0.90448,             0.86687,             0.91813,              0.4655,            0.034681,            0.016281,            0.002438,            0.008812,            0.008812,            0.008812
                   8,             0.03763,            0.016147,           0.0039978,             0.90588,             0.85587,             0.91618,             0.41214,            0.037605,            0.016203,           0.0019294,            0.008614,            0.008614,            0.008614
                   9,            0.036727,            0.015708,           0.0038689,             0.92299,              0.8968,             0.94175,             0.56263,            0.030331,            0.015518,           0.0018619,            0.008416,            0.008416,            0.008416
                  10,            0.035201,            0.015779,           0.0036869,             0.92927,             0.89841,             0.94523,             0.57604,            0.029341,            0.015392,             0.00215,            0.008218,            0.008218,            0.008218
                  11,            0.034329,            0.014932,           0.0035084,             0.93066,             0.90319,             0.94906,             0.55191,            0.029141,            0.015116,           0.0017071,             0.00802,             0.00802,             0.00802
                  12,            0.033521,            0.014974,           0.0033209,             0.92877,             0.90408,              0.9482,             0.53356,            0.029896,            0.015018,           0.0015529,            0.007822,            0.007822,            0.007822
                  13,            0.033135,            0.015113,           0.0033296,             0.93109,             0.91578,             0.95215,             0.58634,            0.029213,            0.014985,              0.0014,            0.007624,            0.007624,            0.007624
                  14,            0.031693,            0.014575,            0.003212,             0.93597,             0.91847,             0.95867,             0.59982,            0.027339,            0.014382,            0.001501,            0.007426,            0.007426,            0.007426
                  15,            0.031546,            0.014942,           0.0030343,             0.92858,             0.92802,             0.95841,             0.65066,            0.024226,            0.014057,           0.0012607,            0.007228,            0.007228,            0.007228
                  16,            0.030789,            0.014407,           0.0030381,             0.93386,             0.91818,             0.95682,             0.62992,            0.026017,            0.014193,            0.001178,             0.00703,             0.00703,             0.00703
                  17,            0.029815,             0.01405,           0.0029407,              0.9451,             0.93562,             0.96493,             0.66139,            0.024029,            0.013775,           0.0011642,            0.006832,            0.006832,            0.006832
                  18,            0.029809,            0.014162,           0.0029121,             0.94311,             0.93158,             0.96456,             0.63979,            0.024042,            0.013673,            0.001018,            0.006634,            0.006634,            0.006634
                  19,            0.028993,            0.014319,           0.0027353,             0.93754,             0.94662,             0.96873,             0.66731,             0.02337,            0.013335,          0.00097237,            0.006436,            0.006436,            0.006436
                  20,            0.028703,            0.013834,            0.002637,             0.95313,             0.93428,             0.96989,             0.67699,            0.023043,             0.01334,          0.00084121,            0.006238,            0.006238,            0.006238
                  21,            0.028608,            0.013786,           0.0026404,             0.94385,             0.95164,              0.9725,             0.64972,            0.023393,            0.013373,          0.00085769,             0.00604,             0.00604,             0.00604
                  22,            0.027829,            0.013655,           0.0025598,              0.9491,             0.95002,             0.97348,             0.68633,            0.022392,            0.012922,          0.00078312,            0.005842,            0.005842,            0.005842
                  23,             0.02772,            0.013627,            0.002492,             0.93383,              0.9314,             0.96459,             0.67597,            0.022954,            0.013432,          0.00068076,            0.005644,            0.005644,            0.005644
                  24,            0.026981,            0.013033,           0.0024091,             0.94812,             0.95034,             0.97524,             0.68156,            0.022605,            0.012825,          0.00061082,            0.005446,            0.005446,            0.005446
                  25,            0.026293,            0.013212,           0.0023643,              0.9611,             0.95528,              0.9775,             0.68779,            0.021592,            0.012427,          0.00053268,            0.005248,            0.005248,            0.005248
                  26,            0.026148,            0.013034,           0.0022712,             0.96192,             0.95609,             0.97832,             0.69724,            0.021001,            0.012467,           0.0005732,             0.00505,             0.00505,             0.00505
                  27,            0.025467,            0.012929,           0.0021969,             0.96174,             0.96021,             0.97877,             0.69789,            0.022591,            0.012564,          0.00051529,            0.004852,            0.004852,            0.004852
                  28,            0.025098,            0.012705,           0.0021372,             0.95676,             0.95827,             0.97719,             0.69703,            0.020947,            0.012246,          0.00049523,            0.004654,            0.004654,            0.004654
                  29,            0.025042,            0.012789,           0.0021225,               0.963,              0.9641,             0.97998,             0.70508,            0.020847,              0.0121,          0.00038153,            0.004456,            0.004456,            0.004456
